Interest,Exploration vs. Depth,Individual vs Collective,Abstract vs Collctive,Examples,Category
Indie Pop,8,7,6,"Belle and Sebastian, Phoenix",Music
Art Rock / Experimental Indie,8,6,6,"Animal Collective, Radiohead",Music
Classic Rock 60s–70s,9,8,6,"Beatles, Zeppelin",Music
Progressive Rock,7,6,5,"Yes, King Crimson",Music
Delta Blues,7,6,5,"Robert Johnson, Howlin’ Wolf",Music
Folk Revival,7,6,5,"Joni Mitchell, Dylan",Music
Modern Indie Folk,7,6,5,"Iron & Wine, Beirut",Music
80s Pop,8,8,7,"Cyndi Lauper, ABBA",Music
90s–2000s Pop,8,8,7,"Avril Lavigne, Nelly Furtado",Music
Golden Era Hip Hop,9,9,7,"Wu-Tang, Biggie",Music
Native Tongues / Conscious Rap,9,9,7,"Tribe, Fugees",Music
Southern 2000s Rap,8,8,8,"UGK, Jeezy, Wayne",Music
Modern Rap,7,8,7,"Kendrick, Vince Staples",Music
Jazz Bebop,7,6,4,Charlie Parker,Music
Modal / Spiritual Jazz,7,6,4,"Coltrane, Pharoah Sanders",Music
Modern UK Jazz,6,6,5,"Shabaka, Yussef Dayes",Music
French Touch House,8,8,8,Daft Punk,Music
Chicago / Detroit House,7,7,8,Frankie Knuckles,Music
UK Garage,8,8,9,Artful Dodger,Music
Progressive House 2000s,7,7,8,Deadmau5,Music
Leftfield Electronic,7,6,7,"Four Tet, Floating Points",Music
Trip Hop,7,6,6,Massive Attack,Music
Motown Soul,8,8,7,Stevie Wonder,Music
Reggaeton,6,8,9,Bad Bunny,Music
South African Dance (Amapiano),5,7,9,Kabza De Small,Music
Qawwali and Ghazals,5,6,7,Nusrat Fateh Ali Khan,Music
Japanese City Pop,6,6,6,Tatsuro Yamashita,Music
Thai Psychedelic Rock,5,6,7,Khun Narin,Music
Andean Electronic Fusion,5,6,8,Nicola Cruz,Music
Skiing,6,6,10,Mountain trips,Outdoor
Surfing,5,6,10,Ocean sessions,Outdoor
Hiking,6,5,10,Trail days,Outdoor
Trail Running Curiosity,3,3,9,Beginner stage,Outdoor
Skateboarding Curiosity,2,4,9,Beginner stage,Outdoor
Deep Math and AI Theory,9,2,1,,Professional
Understanding How Models Actually Work,9,2,1,,Professional
Solving Hard Problems Alone,10,1,1,,Professional
Designing and Running Experiments,8,3,2,,Professional
Writing Technical Papers,8,6,2,,Professional
Explaining Complex Ideas Clearly,8,7,3,,Professional
Turning Theory into Real-World Tools,8,6,4,,Professional
Building Machine Learning Systems,7,5,2,,Professional
Designing System Architecture,7,5,3,,Professional
Building New Technical Projects from Scratch,7,4,4,,Professional
Deciding AI Product Direction,6,7,5,,Professional
Mentoring and Growing Engineers,6,8,5,,Professional
Leading Technical Teams,6,9,6,,Professional
Making High-Stakes Startup Decisions,6,8,6,,Professional
Learning New Mathematical Fields,5,2,1,,Professional
Exploring AI Alignment and Safety Questions,5,5,2,,Professional
Studying Philosophy of Mind and Consciousness,4,3,1,,Professional
Understanding Global Economics and Systems,4,6,2,,Professional
Personal Brand and Public Presence Strategy,3,7,4,,Professional
Visual Design for Technical Tools,3,4,6,,Professional
Fundraising and Investor Relations,3,8,6,,Professional
Logic Puzzle Games,8,2,4,"Portal, Fez",Puzzles
Adventure Puzzle Games,8,3,6,Zelda,Puzzles
Magical Realism Literature,8,2,3,Gabriel García Márquez,Reading
Comics and Graphic Novels,8,6,4,Graphic novels,Reading
Nonfiction Self-Optimization,7,2,2,Life hacking books,Reading
Baseball Fandom,8,9,6,Mets,Sports
Hockey Fandom,8,9,7,Rangers,Sports
Basketball Fandom,8,9,7,Knicks,Sports
Soccer Fandom,8,9,7,Liverpool FC,Sports
Cultural Immersion Travel,6,7,9,Learning local customs,Travel
Food-Centered Travel,6,7,9,Traveling for cuisine,Travel
Music Scene Travel,6,8,9,Travel for shows,Travel
Nature Travel,6,5,10,"Mountains, ocean",Travel
Found Family Fantasy,4,8,8,"She-Ra, Avatar, Voltron, Korra",TV and Film
Institutional Power Drama,4,7,6,"The Wire, Godfather, Andor, Game of Thrones",TV and Film
Moral Descent and Escalation,4,7,6,"Breaking Bad, Ozark, There Will Be Blood",TV and Film
Puzzle-Box and Twist Narratives,4,6,5,"Memento, Prestige, Usual Suspects, Dark",TV and Film
High-Concept Sci-Fi With Emotion,4,7,7,"Interstellar, Severance, Station Eleven, Silo",TV and Film
Stylized Crime and Cool Dialogue,4,8,6,"Pulp Fiction, Fargo, Knives Out, Guy Ritchie films",TV and Film
Warm Ensemble Comedy,4,9,7,"The Office, Parks and Rec, Scrubs, Brooklyn 99",TV and Film
Earnest Growth and Longing Drama,4,8,7,"Sex Education, Friday Night Lights, This Is Us",TV and Film
Whimsical Heartfelt Storytelling,4,8,8,"Big Fish, Paddington, Pixar films, Spirited Away",TV and Film
Romantic Comedy Comfort,4,8,7,"When Harry Met Sally, 27 Dresses, Mean Girls",TV and Film
Animated Emotional Growth,4,8,8,"Inside Out, Moana, Tangled, Toy Story",TV and Film
Smart Absurdist Comedy,4,7,6,"Futurama, Rick and Morty, Holy Grail, Austin Powers",TV and Film
Prestige Indie Human Drama,4,6,7,"Short Term 12, Florida Project, The Descendants",TV and Film
Psychological Tension and Social Horror,4,6,7,"Fincher films, Jordan Peele",TV and Film
Short Story Writing,6,2,4,Fiction drafts,Writing
Poetry Writing,6,2,3,Personal poems,Writing
Magical Realism Interest,6,3,4,Surreal storytelling,Writing
Comic Creation,6,4,7,Panels and narrative,Writing
